Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,34656032
Afghanistan,AFG,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,48.4521985165813
Afghanistan,AFG,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,51.5478014834187
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,596.257638508123
Albania,ALB,"Population, total",SP.POP.TOTL,2876101
Albania,ALB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.5048432413665
Albania,ALB,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.4951567586335
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4684.96703402035
Algeria,DZA,"Population, total",SP.POP.TOTL,40606052
Algeria,DZA,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.5003786504627
Algeria,DZA,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.4996213495373
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4827.72425138732
American Samoa,ASM,"Population, total",SP.POP.TOTL,55599
American Samoa,ASM,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,..
American Samoa,ASM,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,..
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9614.47267179797
Andorra,AND,"Population, total",SP.POP.TOTL,77281
Andorra,AND,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,..
Andorra,AND,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,..
Andorra,AND,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,42681.6038239666
Angola,AGO,"Population, total",SP.POP.TOTL,28813463
Angola,AGO,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.9763712984984
Angola,AGO,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.0236287015016
Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3582.64756234992
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,100963
Antigua and Barbuda,ATG,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,52.0081216263061
Antigua and Barbuda,ATG,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,47.9918783736939
Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13315.5086311154
Argentina,ARG,"Population, total",SP.POP.TOTL,43847430
Argentina,ARG,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.0623359225387
Argentina,ARG,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,48.9376640774613
Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10153.9979117337
Armenia,ARM,"Population, total",SP.POP.TOTL,2924816
Armenia,ARM,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,52.9799642165647
Armenia,ARM,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,47.0200357834353
Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3932.55461733401
Aruba,ABW,"Population, total",SP.POP.TOTL,104822
Aruba,ABW,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,52.49148515985
Aruba,ABW,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,47.50851484015
Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Australia,AUS,"Population, total",SP.POP.TOTL,24127159
Australia,AUS,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.1764580754149
Australia,AUS,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.8235419245851
Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,55670.924142592
Austria,AUT,"Population, total",SP.POP.TOTL,8747358
Austria,AUT,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.0053793938431
Austria,AUT,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,48.9946206061569
Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,47909.4046935283
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9762274
Azerbaijan,AZE,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.2093080597998
Azerbaijan,AZE,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.7906919402002
Azerbaijan,AZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5858.83286635795
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,391232
"Bahamas, The",BHS,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.0428594797972
"Bahamas, The",BHS,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,48.9571405202028
"Bahamas, The",BHS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,19991.092229426
Bahrain,BHR,"Population, total",SP.POP.TOTL,1425171
Bahrain,BHR,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,37.8703497750799
Bahrain,BHR,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,62.1296502249201
Bahrain,BHR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,162951560
Bangladesh,BGD,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.5562334298522
Bangladesh,BGD,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.4437665701478
Bangladesh,BGD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1029.57821239239
Barbados,BRB,"Population, total",SP.POP.TOTL,284996
Barbados,BRB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,52.1051394244771
Barbados,BRB,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,47.8948605755229
Barbados,BRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,16242.7699742254
Belarus,BLR,"Population, total",SP.POP.TOTL,9507120
Belarus,BLR,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,53.4691159921908
Belarus,BLR,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,46.5308840078092
Belarus,BLR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6217.71716578702
Belgium,BEL,"Population, total",SP.POP.TOTL,11348159
Belgium,BEL,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.7780689774665
Belgium,BEL,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.2219310225335
Belgium,BEL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,45430.913067262
Belize,BLZ,"Population, total",SP.POP.TOTL,366954
Belize,BLZ,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.1804040833456
Belize,BLZ,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.8195959166544
Belize,BLZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4328.02073820173
Benin,BEN,"Population, total",SP.POP.TOTL,10872298
Benin,BEN,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.1422743383303
Benin,BEN,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.8577256616697
Benin,BEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,837.341956405278
Bermuda,BMU,"Population, total",SP.POP.TOTL,65331
Bermuda,BMU,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,..
Bermuda,BMU,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,..
Bermuda,BMU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,797765
Bhutan,BTN,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,46.8828070843983
Bhutan,BTN,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,53.1171929156017
Bhutan,BTN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2801.27524003561
Bolivia,BOL,"Population, total",SP.POP.TOTL,10887882
Bolivia,BOL,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.9298072654922
Bolivia,BOL,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.0701927345078
Bolivia,BOL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2457.62596155017
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3516816
Bosnia and Herzegovina,BIH,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.915032754078
Bosnia and Herzegovina,BIH,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.084967245922
Bosnia and Herzegovina,BIH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5377.83721224245
Botswana,BWA,"Population, total",SP.POP.TOTL,2250260
Botswana,BWA,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.5810894404903
Botswana,BWA,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.4189105595097
Botswana,BWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7483.17315222592
Brazil,BRA,"Population, total",SP.POP.TOTL,207652865
Brazil,BRA,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.8395352705472
Brazil,BRA,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.1604647294528
Brazil,BRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10826.2714348298
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30661
British Virgin Islands,VGB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,..
British Virgin Islands,VGB,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,..
British Virgin Islands,VGB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,423196
Brunei Darussalam,BRN,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,48.5116790132209
Brunei Darussalam,BRN,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,51.4883209867791
Brunei Darussalam,BRN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,31430.9625936081
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7127822
Bulgaria,BGR,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.3826919967743
Bulgaria,BGR,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,48.6173080032257
Bulgaria,BGR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7967.70870191608
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,18646433
Burkina Faso,BFA,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.1644013901638
Burkina Faso,BFA,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.8355986098362
Burkina Faso,BFA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,663.906712033544
Burundi,BDI,"Population, total",SP.POP.TOTL,10524117
Burundi,BDI,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.8076348390009
Burundi,BDI,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.1923651609991
Burundi,BDI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,218.28352838019
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,539560
Cabo Verde,CPV,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.1893212790445
Cabo Verde,CPV,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.8106787209555
Cabo Verde,CPV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3452.9462124976
Cambodia,KHM,"Population, total",SP.POP.TOTL,15762370
Cambodia,KHM,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.2164635637621
Cambodia,KHM,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,48.7835364362379
Cambodia,KHM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1079.1135407797
Cameroon,CMR,"Population, total",SP.POP.TOTL,23439189
Cameroon,CMR,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.9620038129297
Cameroon,CMR,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.0379961870703
Cameroon,CMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1495.44336202907
Canada,CAN,"Population, total",SP.POP.TOTL,36286425
Canada,CAN,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.3911538157151
Canada,CAN,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.6088461842849
Canada,CAN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,50231.885198923
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,60765
Cayman Islands,CYM,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,..
Cayman Islands,CYM,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,..
Cayman Islands,CYM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4594621
Central African Republic,CAF,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.6774665489057
Central African Republic,CAF,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.3225334510943
Central African Republic,CAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,325.720291783207
Chad,TCD,"Population, total",SP.POP.TOTL,14452543
Chad,TCD,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.9487391321044
Chad,TCD,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.0512608678956
Chad,TCD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,859.648571526289
Channel Islands,CHI,"Population, total",SP.POP.TOTL,164541
Channel Islands,CHI,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.4120678757232
Channel Islands,CHI,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.5879321242768
Channel Islands,CHI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Chile,CHL,"Population, total",SP.POP.TOTL,17909754
Chile,CHL,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.4704948849396
Chile,CHL,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.5295051150605
Chile,CHL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,15019.6329654969
China,CHN,"Population, total",SP.POP.TOTL,1378665000
China,CHN,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,48.4738191023216
China,CHN,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,51.5261808976784
China,CHN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6893.77636133899
Colombia,COL,"Population, total",SP.POP.TOTL,48653419
Colombia,COL,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.7845099190536
Colombia,COL,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.2154900809464
Colombia,COL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,7525.85532571096
Comoros,COM,"Population, total",SP.POP.TOTL,795601
Comoros,COM,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.5631615265402
Comoros,COM,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.4368384734597
Comoros,COM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,768.438960248232
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,78736153
"Congo, Dem. Rep.",COD,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.1208923543924
"Congo, Dem. Rep.",COD,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.8791076456076
"Congo, Dem. Rep.",COD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,388.272140742046
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5125821
"Congo, Rep.",COG,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.977262205689
"Congo, Rep.",COG,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.022737794311
"Congo, Rep.",COG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2798.06609680831
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4857274
Costa Rica,CRI,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.9766123961712
Costa Rica,CRI,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.0233876038288
Costa Rica,CRI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9714.09989691182
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,23695919
Cote d'Ivoire,CIV,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.2951213590625
Cote d'Ivoire,CIV,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.7048786409375
Cote d'Ivoire,CIV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1552.77041979628
Croatia,HRV,"Population, total",SP.POP.TOTL,4170600
Croatia,HRV,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.8078963426718
Croatia,HRV,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,48.1921036573281
Croatia,HRV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,14465.1342243144
Cuba,CUB,"Population, total",SP.POP.TOTL,11475982
Cuba,CUB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.9705079627629
Cuba,CUB,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.0294920372371
Cuba,CUB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Curacao,CUW,"Population, total",SP.POP.TOTL,159999
Curacao,CUW,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,54.2204960565201
Curacao,CUW,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,45.7795039434799
Curacao,CUW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Cyprus,CYP,"Population, total",SP.POP.TOTL,1170125
Cyprus,CYP,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.9205215155949
Cyprus,CYP,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.0794784844051
Cyprus,CYP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,28325.437516627
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10561633
Czech Republic,CZE,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.8554559205349
Czech Republic,CZE,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.1445440794651
Czech Republic,CZE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,21903.8536115995
Denmark,DNK,"Population, total",SP.POP.TOTL,5731118
Denmark,DNK,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.2648433515696
Denmark,DNK,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.7351566484304
Denmark,DNK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,60637.3355889663
Djibouti,DJI,"Population, total",SP.POP.TOTL,942333
Djibouti,DJI,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.8073951762838
Djibouti,DJI,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.1926048237162
Djibouti,DJI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Dominica,DMA,"Population, total",SP.POP.TOTL,73543
Dominica,DMA,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,..
Dominica,DMA,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,..
Dominica,DMA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6880.62567574717
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10648791
Dominican Republic,DOM,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.1889370122625
Dominican Republic,DOM,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.8110629877375
Dominican Republic,DOM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,6909.12954437444
Ecuador,ECU,"Population, total",SP.POP.TOTL,16385068
Ecuador,ECU,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.0143972531091
Ecuador,ECU,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.9856027468909
Ecuador,ECU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5191.09956048467
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,95688681
"Egypt, Arab Rep.",EGY,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.4403465605264
"Egypt, Arab Rep.",EGY,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.5596534394736
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2724.39680691031
El Salvador,SLV,"Population, total",SP.POP.TOTL,6344722
El Salvador,SLV,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,52.9968225548172
El Salvador,SLV,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,47.0031774451828
El Salvador,SLV,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,3802.85965518617
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1221490
Equatorial Guinea,GNQ,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,44.7283042501197
Equatorial Guinea,GNQ,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,55.2716957498803
Equatorial Guinea,GNQ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,12278.1291416571
Eritrea,ERI,"Population, total",SP.POP.TOTL,..
Eritrea,ERI,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,..
Eritrea,ERI,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,..
Eritrea,ERI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Estonia,EST,"Population, total",SP.POP.TOTL,1316481
Estonia,EST,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,53.1868999299783
Estonia,EST,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,46.8131000700217
Estonia,EST,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,18085.0897379463
Ethiopia,ETH,"Population, total",SP.POP.TOTL,102403196
Ethiopia,ETH,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.0723844567357
Ethiopia,ETH,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.9276155432643
Ethiopia,ETH,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,511.187426515801
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,49117
Faroe Islands,FRO,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,..
Faroe Islands,FRO,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,..
Faroe Islands,FRO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Fiji,FJI,"Population, total",SP.POP.TOTL,898760
Fiji,FJI,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.1956749587768
Fiji,FJI,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.8043250412232
Fiji,FJI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4195.96811433867
Finland,FIN,"Population, total",SP.POP.TOTL,5495096
Finland,FIN,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.7550883306249
Finland,FIN,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.2449116693751
Finland,FIN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,45825.4907138827
France,FRA,"Population, total",SP.POP.TOTL,66896109
France,FRA,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.8477868645681
France,FRA,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.1522131354319
France,FRA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,42013.2862913497
French Polynesia,PYF,"Population, total",SP.POP.TOTL,280208
French Polynesia,PYF,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,49.0485503418938
French Polynesia,PYF,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,50.9514496581062
French Polynesia,PYF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,..
Gabon,GAB,"Population, total",SP.POP.TOTL,1979786
Gabon,GAB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,48.613613484683
Gabon,GAB,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,51.386386515317
Gabon,GAB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,9569.45438837312
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2038501
"Gambia, The",GMB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.4997530055084
"Gambia, The",GMB,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.5002469944916
"Gambia, The",GMB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,531.918208458419
Georgia,GEO,"Population, total",SP.POP.TOTL,3719300
Georgia,GEO,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,52.2575267450315
Georgia,GEO,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,47.7424732549685
Georgia,GEO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4083.99815764712
Germany,DEU,"Population, total",SP.POP.TOTL,82667685
Germany,DEU,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.7864781921597
